sat_pos	name
7500	75.0 E
7200	72.0 E
7050	70.5 E
6850	68.5 E
6600	66.0 E
6500	65.0 E
6420	64.2 E
6420	64.2 E
6200	62.0 E
6000	60.0 E
5700	57.0 E
5600	56.0 E
5500	55.0 E
5300	53.0 E
5250	52.5 E
5260	52.6 E
5200	52.0 E
5150	51.5 E
5050	50.5 E
5000	50.0 E
4900	49.0 E
5060	50.6 E
4600	46.0 E
4500	45.0 E
4200	42.0 E
4200	42.0 E
4000	40.0 E
3900	39.0 E
3900	39.0 E
3800	38.0 E
3600	36.0 E
3600	36.0 E
3300	33.0 E
3310	33.1 E
3280	32.8 E
3150	31.5 E
3150	31.5 E
3100	31.0 E
3050	30.5 E
3050	30.5 E
2820	28.2 E
2820	28.2 E
2820	28.2 E
2600	26.0 E
2600	26.0 E
2600	26.0 E
2600	26.0 E
2600	26.0 E
2550	25.5 E
2420	24.2 E
2350	23.5 E
2160	21.6 E
2000	20.0 E
1920	19.2 E
1920	19.2 E
1920	19.2 E
1920	19.2 E
1910	19.1 E
1700	17.0 E
1600	16.0 E
1300	13.0 E
1300	13.0 E
1300	13.0 E
1000	10.0 E
900	9.0 E
700	7.0 E
700	7.0 E
480	4.8 E
480	4.8 E
400	4.0 E
300	3.0 E
300	3.0 E
190	1.9 E
120	1.2 E
-80	0.8 W
-60	0.6 W
-80	0.8 W
-80	0.8 W
-80	0.8 W
-300	3.0 W
-400	4.0 W
-400	4.0 W
-430	4.3 W
-500	5.0 W
-500	5.0 W
-700	7.0 W
-700	7.0 W
-700	7.0 W
-800	8.0 W
-800	8.0 W
-1100	11.0 W
-1250	12.5 W
-1400	14.0 W
-1500	15.0 W
-1790	17.9 W
-1800	18.0 W
-1820	18.2 W
-2000	20.0 W
-2160	21.6 W
-2200	22.0 W
-1720	17.2 W
-2450	24.5 W
-2450	24.5 W
-2750	27.5 W
-2940	29.4 W
-3000	30.0 W
-3000	30.0 W
-3150	31.5 W
-3450	34.5 W
-3600	36.0 W
-3620	36.2 W
-3750	37.5 W
-3750	37.5 W
-4050	40.5 W
-4300	43.0 W
-4500	45.0 W
-4750	47.5 W
-5020	50.2 W
-5010	50.1 W
-5300	53.0 W
-5550	55.5 W
-5800	58.0 W
-6100	61.0 W
-6300	63.0 W
